Name,Pos,Apps,Goal,YearIn,YearOut,FeeIn,FeeOut
Petr Cech,G,32,0,2015,NA,10000000,NA
Mohamed Elneny,M,9,0,2015,NA,5000000,NA
David Ospina,G,22,0,2014,NA,3000000,NA
Calum Chambers,D,35,1,2014,NA,16000000,NA
Gabriel Paulista,D,19,1,2014,NA,11200000,NA
Alexis Sanchez,F,63,28,2014,NA,35000000,NA
Danny Welbeck,F,37,8,2014,NA,16000000,NA
Mathieu Debuchy,D,10,1,2014,NA,12000000,NA
Gabriel Paulista,D,6,0,2014,NA,11200000,NA
Mesut Ozil,M,82,15,2013,NA,42500000,NA
Nacho Monreal,D,96,1,2012,NA,8300000,NA
Santi Cazorla,M,120,23,2012,NA,20000000,NA
Olivier Giroud,F,133,53,2012,NA,13000000,NA
Lukas Podolski,F,53,19,2012,2015,11000000,1800000
Per Mertesacker,D,149,5,2011,NA,10000000,NA
Mikel Arteta,M,111,15,2011,NA,10000000,NA
Alex Oxlade-Chamberlain,M,100,7,2011,NA,12000000,NA
Joel Campbell,F,18,3,2011,NA,950000,NA
Gervinho,F,46,9,2011,2013,10600000,8000000
Andre Santos,D,15,2,2011,2013,6200000,NA
Park Chu-Young,F,1,0,2011,2014,3000000,NA
Laurent Koscielny,D,178,15,2010,NA,10000000,NA
Sebastien Squillaci,D,23,1,2010,2013,4000000,NA
Thomas Vermaelen,D,110,6,2009,2014,10000000,15000000
Andrey Arshavin,M,86,12,2008,2013,15000000,NA
Mikael Silvestre,D,26,2,2008,2010,750000,NA
Aaron Ramsey,M,186,25,2007,NA,5000000,NA
Bacary Sagna,D,213,4,2007,2014,6000000,NA
Lassana Diarra,M,7,0,2007,2007,4000000,5500000
Samir Nasri,M,85,16,2007,2011,15800000,22000000
Lukasz Fabianski,G,32,0,2006,2014,2000000,NA
Alex Song,M,137,6,2006,2012,1000000,15000000
Denilson,M,97,3,2006,2013,3400000,NA
Eduardo,F,41,4,2006,2010,7500000,6000000
Theo Walcott,F,236,52,2005,NA,9100000,NA
Tomas Rosicky,M,171,16,2005,NA,6800000,NA
Abou Diaby,M,124,8,2005,2015,2000000,NA
Nicklas Bendtner,F,107,18,2005,2014,200000,NA
Vito Mannone,G,15,0,2005,2013,350000,2000000
Armand Traore,D,12,0,2005,2011,250000,1200000
Alexander Hleb,M,89,7,2005,2008,11000000,11800000
Emmanuel Adebayor,F,78,36,2005,2009,7000000,25000000
Mathieu Flamini,M,168,10,2004,2008,1000000,NA
Manuel Almunia,G,109,0,2004,2012,2500000,NA
Emmanuel Eboue,M,132,4,2004,2011,1000000,4000000
Robin van Persie,F,194,87,2003,2012,2750000,22000000
Jens Lehmann,G,148,0,2003,2007,2000000,NA
Gael Clichy,D,187,1,2003,2011,250000,7000000
Philippe Senderos,D,64,4,2003,2010,2500000,NA
Jose Antonio Reyes,F,69,16,2003,2007,13000000,8100000
Gilberto Silva,M,164,17,2002,2008,4500000,1000000
Pascal Cygan,D,63,3,2002,2006,2100000,2000000
Kolo Toure,D,199,7,2001,2009,150000,16000000
Robert Pires,M,189,62,2000,2005,6000000,NA
Edu,M,79,7,2000,2004,6000000,NA
Lauren,M,159,7,1999,2006,7200000,500000
Thierry Henry,F,254,174,1999,2006,10500000,16100000
Freddie Ljungberg,M,216,48,1998,2007,3000000,3000000
Patrick Vieira,M,307,32,1996,2005,3500000,13700000
Dennis Bergkamp,F,315,87,1995,2006,7500000,NA
